
2025/02/15 (22:40:27) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:40:28) | ===> btop++ v.1.4.0
2025/02/15 (22:40:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:41:31) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:41:32) | ===> btop++ v.1.4.0
2025/02/15 (22:41:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:41:48) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:41:49) | ===> btop++ v.1.4.0
2025/02/15 (22:41:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:42:20) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:42:21) | ===> btop++ v.1.4.0
2025/02/15 (22:42:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:42:52) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:42:53) | ===> btop++ v.1.4.0
2025/02/15 (22:42:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:43:18) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:43:19) | ===> btop++ v.1.4.0
2025/02/15 (22:43:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:44:00) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:44:00) | ===> btop++ v.1.4.0
2025/02/15 (22:44:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:44:09) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:44:09) | ===> btop++ v.1.4.0
2025/02/15 (22:44:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:44:30) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:44:31) | ===> btop++ v.1.4.0
2025/02/15 (22:44:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:44:47) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:44:48) | ===> btop++ v.1.4.0
2025/02/15 (22:44:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:45:38) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:45:39) | ===> btop++ v.1.4.0
2025/02/15 (22:45:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:45:41) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:45:55) | ===> btop++ v.1.4.0
2025/02/15 (22:45:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:46:23) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:46:24) | ===> btop++ v.1.4.0
2025/02/15 (22:46:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:46:48) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:46:49) | ===> btop++ v.1.4.0
2025/02/15 (22:46:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:47:45) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:47:46) | ===> btop++ v.1.4.0
2025/02/15 (22:47:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:48:31) | WARNING: Failed to join _runner thread on exit!

2025/02/15 (22:48:32) | ===> btop++ v.1.4.0
2025/02/15 (22:48:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (22:48:35) | WARNING: Failed to join _runner thread on exit!
2025/02/15 (22:48:40) | WARNING: Failed to join _runner thread on exit!
2025/02/15 (22:48:46) | WARNING: Failed to join _runner thread on exit!
2025/02/15 (22:49:03) | WARNING: Failed to join _runner thread on exit!
2025/02/15 (22:49:11) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (14:27:13) | ===> btop++ v.1.4.0
2025/02/16 (14:27:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/16 (14:39:36) | ===> btop++ v.1.4.0
2025/02/16 (14:39:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/16 (17:06:17) | ERROR: Stall in Runner thread, restarting!
2025/02/16 (17:08:19) | ERROR: Stall in Runner thread, restarting!

2025/02/16 (17:17:10) | ===> btop++ v.1.4.0
2025/02/16 (17:17:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/16 (17:48:44) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (23:11:18) | ===> btop++ v.1.4.0
2025/02/21 (23:11:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/21 (23:13:54) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (13:39:51) | ===> btop++ v.1.4.0
2025/03/10 (13:39:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/10 (13:40:50) | ===> btop++ v.1.4.0
2025/03/10 (13:40:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/12 (12:29:46) | ===> btop++ v.1.4.0
2025/03/12 (12:29:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (12:58:43) | ===> btop++ v.1.4.0
2025/03/15 (12:58:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (12:59:58) | ===> btop++ v.1.4.0
2025/03/15 (12:59:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (13:00:38) | ===> btop++ v.1.4.0
2025/03/15 (13:00:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (13:01:18) | ===> btop++ v.1.4.0
2025/03/15 (13:01:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (13:02:36) | ===> btop++ v.1.4.0
2025/03/15 (13:02:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/15 (13:07:14) | ===> btop++ v.1.4.0
2025/03/15 (13:07:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/24 (22:36:15) | ===> btop++ v.1.4.0
2025/03/24 (22:36:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/02 (16:40:01) | ===> btop++ v.1.4.0
2025/04/02 (16:40:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/24 (22:02:59) | ===> btop++ v.1.4.0
2025/04/24 (22:02:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/24 (22:04:07) | WARNING: Failed to join _runner thread on exit!
